rank	node_id	tx_hash	output_id	harmonic
0	37028167	7546138cc542cccd40417580f6a863705f27784d95fe26b0e0147b4f42b08f1e	1957	0.04126578962718251
1	76693599	0a76136f47eb1dfa371baed309bd5a4ba56217d60a25e5bdc1cc59587f935529	1421	0.041226229605834275
2	70426178	dbf0da974717abffb7e3ca47a333e20292c9980f6a61c6058667a66c841cd0b2	102	0.041164279401320336
3	70448058	3d6f5a1af28c3b8581067a81773237408f33f63532fe946ffae2abfeebc6603a	0	0.041164279401320336
4	70461225	640b54ae8ba7a7b41aa4feb5c41f29835195900704cabf61815471b0b6ee5e30	0	0.041164279401320336
5	70515628	f0f335119d144d88cde5b74bab732b96ddd86193db4790b9ce134a01e95e44eb	1	0.041164279401320336
6	70540180	8bc82680e80292d6fba7606ddb374d2de499455537a9ed6884ffcc23164a4131	0	0.041164279401320336
7	70592028	1de358fb9baefc1e75f58c811014b14cde62c637ed0236320699cffcf755c42f	1	0.041164279401320336
8	70670571	c5b4e5a48460efc1945af2118d3be7c8c8421d5db0df4a8379012a3d9009d8d1	0	0.041164279401320336
9	72186796	597c3bc809e4cea5a751863af131ff514843ff68f9a12520528c93741983cbf6	0	0.04113687877104754
10	72208041	21eb0c36f71fbdc840707e2232501dec46a2bbbffb0050c21c466cc0109b31b5	879	0.04113687877104754
11	72255740	982ea6720d361f97e8833b0f6188e2066ad81bd53f13b9ba9f86dce4c41ad0e2	3	0.04113687877104754
12	72462777	5788a1395659bda9a968e5f6fc60cfc7427dbebcc1e78313228b78449a4c2a59	1	0.04113687877104754
13	72548644	b31835ca2aaa501189f41ac54f4ec6320cf37d027dc92df2292b31940532c90a	0	0.04113687877104754
14	72556433	b33667b2230f59907e27114c6aa7976106e1642d6f1a8e4ec091a304fdd4ac2b	1349	0.04113687877104754
15	72638779	56ed0bff83dc73ba586828b117f51d9f7f8ef4e2322652793343f37a0c2c19a8	0	0.04113687877104754
16	77278437	ab718823e7e9e3f9ccd161de592c54d34f6848e33348be88cb8c2bbc99599a15	0	0.04111098077451771
17	38191037	b8ac35955a22cf8a885ca5d624dea04af5f05725ef90274e4d1f18d4ff44bc50	2021	0.04109282905360999
18	76393462	e07d387a92c57701c10df55a76753a962be7e77157cdbf16152e9c0693d8fcb2	0	0.04108166625610494
19	76478763	ace36c1ee4abfaddee9aa6e1b647eaa9cee78ea67b6bee272d873541b551a819	0	0.04108166625610494
20	79466306	f7cbfdaa0282cd64959b1f2447dcd63c47b0a44dac942a5b4f4391c585bde4fe	1	0.04107395553330931
21	79986449	38b50d7da0b838c7ca5408fe2b38f81bff5d1008d263359155929b5bbe245287	1	0.04107395553330931
22	80051347	5aaa62e66996aca5e70af7d91fc927a2fef5a0299bf79ebec1d2e686bb3e05bd	0	0.04107395553330931
23	80106349	a7b1bd6e30d45b35b7c250f64df52f80064c1006566051ff6a9fc5029ff8ef64	0	0.04107395553330931
24	78381484	4c302bc1a69f087ad6d01e1f59ae6453066eeae3adb83469df806a4d889323e6	122	0.04106637532123718
25	37013550	326020008fa569b201fd68971219709a11f93c261bbf4f283e1b02ee6bd7c759	0	0.041051856426416844
26	34998309	49ac27f7532a415550c4431f6bfb93a0d69546e024fd17220592bb0b305b5768	371	0.04101354280933818
27	73595599	14146de632f06227e36cabaaec28418fdea76d64d72881f3f317676179d7fc61	0	0.04097223300381265
28	73659888	33b6651c864ec9e7b51f7e8b10f69d4a6bfa19b75f8c31c2326ce10fd2c2854f	803	0.04097223300381265
29	78436051	01ed2daa679038663548d022e930c15b5a8b3441f2f0a5b02882e6aef5baab3d	0	0.04091709082439006
30	70796316	ff2c524a48ae0def94041993f70c2506e6000145a2710773996630601d4ec648	248	0.04090962616493326
31	74604052	24d37150dba8d6ef06eea76084eb57e8df46b8be72ab12c436d07fb12d5f6a3f	2	0.04090962616493326
32	75662389	20c786018573b9b6f2cb06032cb3c4fc59ccf5abff85f38f17c89b2257807a84	0	0.04090962616493326
33	77339282	169048fa1869ec220c6deedf503bd05238b61a45830d4b1da7fa990421b744f4	0	0.04090962616493326
34	78810635	0b1635414722772bb1ac11a2ba95f536bbd6a484746ae5b9253f35b6e31ea918	0	0.04090962616493326
35	80150598	c4553b0ec1a98bff415bae6474b25e8b21bf3fb7c246c9175dd155b11c807482	0	0.04090962616493326
36	80789515	4507beef886ccf1dd8513a2ca95909a37ce755607caa9c76e8b59d00a53cc0be	0	0.04090962616493326
37	72415264	91d676401263a6e5443667f5011fd9a180f4238e39e6b3f487ccf08d3cbf0d8c	0	0.040898863377128634
38	72415312	26692c1edd6b0b49165356a35b33023137bf76ed2b6fc863439277b8061b3b05	1	0.040898863377128634
39	72416893	7be22f21d3438cfff9448f1cdd7c3fccbfc9bb0737211ad243c01cdb6231e265	0	0.040898863377128634
40	72451307	c1b9f234d4dedc110fd413786f6ccc3452a11f0b160e6757719defc8f83920cf	0	0.040898863377128634
41	72451363	2094d19be348b932412b55049c96a012b08f8d2809128889f350a778178452e9	0	0.040898863377128634
42	72452796	fba4c62f91a106f3edf0010c48af60b0e9748d35f4981dd820e84a2069d0b38b	0	0.040898863377128634
43	35402659	706cb63f6d33e8eeecfb7883b7a31ac375dc1805c417060efcc58d3755ac4364	1504	0.04089855129994173
44	76478770	f80be99330bd5baf7357628ed0a1256edf38a28857a17540c43acd6a4f669fb8	0	0.04089226246666069
45	70187611	6175bddf47d1340679f34c1b4f78f6d7542690173541a345ed1bbba75b9e5cc6	0	0.04088903485817984
46	70252500	f3e85f83781d98120f43be0081ab2ee8f1389abed447f16e9bde0d5ddaa145e6	34	0.04088903485817984
47	70282760	197a45eef1385012e3f5b46377290aec1b5d362f0242f2104850c3f451ce1fc3	0	0.04088903485817984
48	70426444	dbf0da974717abffb7e3ca47a333e20292c9980f6a61c6058667a66c841cd0b2	368	0.04088903485817984
49	70429217	8cf24680ccf6310c7cbed49107ab95008c19e8be1b987004823939996b0e7ada	0	0.04088903485817984
50	79571493	d44f0a585c3007793a2bcebed7bf1e50944418e865105bf9c472ef1ee5547dc6	1	0.04087814351688694
51	80152960	5d4f452b9e2d40da90bed47d7250fe3ebf204e4a74d2d170e6e10076f7a5f9fc	1	0.04087814351688694
52	81146642	d2200e48207cd204624b6f84a25686e10ed6dcff55b3f1ce5e197f4e21ac88e7	1	0.04087814351688694
53	81259344	9bd7c41733c0efb8025602e7ad919db11815d224ca407569a3560e3d87048e63	1	0.04087814351688694
54	81308290	7aa738c3ef37fdfbd2e046d73ff0d91f6e9e4a48101c27663b61251487333940	1	0.04087814351688694
55	81318051	1d1a0f1aa18dd1d27dfba6d51f9e7cf8ed08a75c1a08b7f6f505fd4e12e38c99	372	0.04087814351688694
56	81463789	4731330a8d2d05e4ef2875747951b29c4ab508ec8630a40fb86d5d9c7b9d52d3	0	0.04087814351688694
57	78986699	18c5f6b5fee371ad193b3efb4ffb3525c7e6266fd1ce2aad687db11c9fa82d3b	1	0.04087591651724373
58	78739999	bacefb3306c2c52eae852621905f89b6d930aeb2c8360deb06d757ef54179a6a	484	0.040843485164023946
59	79036391	4db9d2f7c1498a6127ad025c2fe7773ea0c8bbb53eadec1fb4b9157837234af3	1	0.040843485164023946
60	76839184	bb7020a51e2b1924dacb351d20a400f1f47a5f427a491c8febd1c9aec8dafd5e	272	0.04083464656045535
61	81847147	6cc677fd195d7c11f341ceb9c47f2ba0fcae2d27499120043317483fdd070f5c	1	0.040834603383069955
62	81871153	2420f5b305a60ceed211fae3e2e2c7aa1e21764eb139ed2da8b0df03c7ff04e7	2070	0.040834603383069955
63	82026539	7fa65d5f991058a604f8bd9d1bb3395234cfd3fc18f2a6cfa43f751d5eb9ba00	2	0.040834603383069955
64	82028765	958b299d8f821d1aaa28b761d13404754bec184db760d916a75cbddb217444b2	0	0.040834603383069955
65	82062592	d2fcef24320e7050bbd284a57a4503f1adc22bd143d631e48ce20ac2fa721a4f	1	0.040834603383069955
66	82063567	e85668fb6a32c013c32c1a540a4103d083701b47192abe8d1b9c3c74623beed1	1	0.040834603383069955
67	82067924	02d5becc6fd848ba87142f21c76b70e139b0e6b4b43d7577614f7d3069d82135	1	0.040834603383069955
68	33311113	e10a41c84950b56ac41b668d0760b10e19299dfd60401936923e6abdfb57db70	550	0.04083405648911282
69	77237365	ce911ae08ff34cc74b33f837fa959a4c716bf6443c87838a57c9f613b8fc3ec8	1	0.04082988727370934
70	77363350	a5e02f16bd0a81085784cfac2dff32ee911de17c54284341a1f07eb9a326ee19	0	0.04082988727370934
71	70886090	94e43df661e0a0ba924731e486bfae5534a3a9faf6bb6bb997d9ce8b4e8371b7	1	0.04082719413331578
72	71592479	395156d88e2933444f54216efe3e205274f31fda86dc1f1e33d35baeb86f61e3	0	0.04082719413331578
73	71593855	a2fc35e1c168f2b29a154781ebdb6eccf51118fbeec9b6dff97cb4067f221dde	0	0.04082719413331578
74	71614235	a3c0051e1df24052f6928ee695ad6d1b98a5d380298d605831a579e1a4d60d2a	0	0.04082719413331578
75	71746981	c50eb3570583a294c63cb2148f29eeaf16d25e16fb16b7ba1fef699be952f9e9	0	0.04082719413331578
76	71761272	e2f921476238d49703379fe161017a72a65d5f23f8877f1c1511600671d757df	1	0.04082719413331578
77	80151580	bbe5e34b4115af9fb8ef9d46967f16caf9599be86799031954d4f5c93a410775	1	0.0408186053933065
78	80269929	e587fca9b0a5a2d1b64c00f6881012103654e74e30e427743e51ad97476728e5	1	0.0408186053933065
79	80272523	b488c410e4be1b259cc553e504fa022d6805a7fad860d1e6785d6d0f6a8b8784	0	0.0408186053933065
80	75179305	6d8f3a5eb5393c0f7bf640804d30a134b78002e89acc3c5912a50a2b33aa59c7	0	0.04081750828520017
81	75709146	9cdfb341ce84482c6815366621e397c87afa025401605040085b4e2c267d978d	318	0.04081750828520017
82	82828626	2f7ee84f2e954550ebbd0b9954d519ecfd31a31992eedfeb0f488e05abff69d8	0	0.040814984794954184
83	84023071	399683db10db2d99997c561a8c5f97ddba3971cb610307ac6c07745954eb260c	2	0.04081331604764518
84	82566608	9aa467a9003409444f74f4c182b4ebcbd94900f7ec19bb6ab30baeb545fc7180	3	0.0408127814628301
85	83071093	a4e1c28e9a60b511cf033a79044fc86f26ec28c3db9c0841756a8d2d3e5a8045	2288	0.0408127814628301
86	35563672	f1fa11204333fe54bee57bbbed96f09f27f5233d0fff47df8c4ddb9698c20aa9	186	0.040808275243086695
87	78827245	5b2c735124e4cc8cf062074cd2da13ff8dd9d3ad42a57d2b78aebbe1121d6788	0	0.0408000678332515
88	79986207	b19a61615b2863080c99524c7f69417c18051cdad71632ea71508c43da64bf9c	1	0.040794812317362004
