rank	node_id	tx_hash	in_degree
121	75762635	1756e3909182a60305fbe6096abc05933aa50e5a1a5ad46210f1572020b12095	1000
122	88272130	6bb39576292c69016d0e0c1fe7871640aab12dd95874d67c46cf3424822f8dfd	994
123	91473923	d27ca813c97eef5c6e9ed4bd2fe08a7e34aa8ac0c2af353826c73a4e2711a797	972
124	87862787	e32477636e47e1da5fb49090a3a87a3b8ff637d069a70cd5b41595da225e65b4	971
125	60952	6bb9c31f15c6940d4bd664054e398e420425339aadc65e8c491cf1151fe7ff4b	965
126	91473924	b6afec0b2e9940a82397c1137e96b48c72c1c043a450b019966a4e8fc638e2d3	957
127	88878784	1d93bfe18bc05b13169837b6bc868a92da3c87938531d6f3b58eee4b8822ecbf	954
128	16858313	d08e01da28fe9860cfacbf0c896de44c5761d16b36cd965b512f270abde29f48	938
129	15262889	158e015d63d57991cafba93703f1e8d8e10d01f75c7a14d33a1ba60a61319778	935
130	20154122	13ceb1c6e8c7716908f77b6dd51370c11e60805dc8b8060a386340c972fc8484	932
131	10705275	ce33b5e0ac32bc8c1253b175616b97250ea493562d52e4a3e257030e2a614c21	922
132	88392692	9f8cc4496cff3216608c2f2177ab360bd2d4f58cae6490d5bc23312cf30e72e0	918
133	87998821	763e13f873afa5f24cd33fc570a178c65e0a79c05c88c147335834fc9e8f837b	911
134	121669	aaaa2ef07c4aa47a15375ba6a920a0e93b82a4307d5d45ccaf2672d1e60d29e4	901
135	22492974	98ae7cc20f29a2e36477fc2b49a2886479c2e60e963965421454c42e9893f635	899
136	90816887	2290263dddf8f06f099fcfb130a85f8f00b6cc1e05565a4c028d2187c8592d15	892
137	85060563	c5bec518e26000bd6187e494d7927909eaf83dc15c0cd025677953958c36b9c2	880
138	85061407	ea6d18a6777e01d58af02a96f1b5cb51dd928338b6f3618ecfeadc0abbb718a4	880
139	85061408	430277c0454a60b06ab3b76227541b0a099e523bbdea6d55aeac2e6d5e06aa2f	880
140	85061409	450ec1e5e9d779992777ed2dba00e208213365592430101dec09b0a332f9f600	880
141	85061410	eca6409f7df5b235900859123280fbd95a2a0751bc2a22b9d6518a11c0223db6	880
142	85062576	efb1ccbb875b3bd3af0885d35c08542820caa743adc820c789ea59479335dd01	880
143	85062991	c27fbd7eed2312a933ce16b5b77d57672a248ea1c2e7e08ccef940b07c4407cf	880
144	85065275	bd709750adbca827ff5896542e2709720213274fa302eac1ee2b1d30396969e5	880
145	85068308	a2365303c4e82e616723fc45a7eb0d3c3d07d2e43f9cb5e34e502008d46cf453	880
146	85068309	39be8e26f4f4fa09d59246801979bae8cd5e27875d9916131e841147def14705	880
147	85068310	2e545e7641ae550de242b562a8dd790dd1f646b55caac2d00b34b06a2d368d66	880
148	85069468	e14207428125ddd6d90ebc0d5ab386ae81cbaedfdbfeb2adf44563e2a310b685	880
149	85070793	fd99f626a448d257c76b953f0a7f2a9a018a7f2cc29842aa652faf6654dd5c36	880
150	85072249	b4996a86ae429261a209969cd7cc756854a129f9a6bfe8e0b12f73de73105969	880
151	85073509	0b74aa18fa485b7edea47d52e50bfb9c8c0b7df3e4f3d467759cbf71411573bf	880
152	85073510	e84c818b58bd494eb82cb6b5a7f39849a505420ecfe8f2b71f2dce62c5d7a787	880
153	85092591	8ec59a2526f6fb272d712b0e6d6351ab0058782d13e416ffa8efc65b323a63ef	880
154	85092592	df459f9b9a91f0b1271157755cea9b72982f9e6c157d93bc344d4797db4e6494	880
155	85092593	c2839dd3c0ae570de6c74f436a245e0999b3287fc47fec4a9a66bcff7641250b	880
156	85093383	2ccfdece532fe677ca98bf0487b3a36ee93b50d1f594e83f95212fb82ccfeae8	880
157	85093384	44434d2c552c8008ea050a509de9b383e85cf8304da5324e061491aa179630ad	880
158	85093385	d57130f083345050576ac1e439d99bd9d206983ca52f9afc075d0ac03505ff87	880
159	85093386	fc3b8903f691ac40be2d5bb96a9c942c9f63e004ddbcd5ab8f76ada9507b9282	880
160	85093387	6727423a676ead4ab8e9aaffdc6072cd1d1212768d1f5434438de20f9c138f77	880
161	85093388	17d0fda201249907f06cc1924e69b7f8d732a396d02d8f676ad12ccf938101cb	880
162	85093389	e0575ae3588079b226462dd5037302eb271636adb2934b1de430bc60c604330d	880
163	85093390	edae3ad661209336413e2f7ec7378d49d8eef3c8935157c8544d5c609658da87	880
164	85095178	4fb91dbd387c629a45253352dabaac01b774163212b48cbe0bf71bfe516cb04a	880
165	85095492	016cf0576eb5eef439c2b2e79a43212ca66bb6dd798e3073583df62ebb8e7549	880
166	85095493	34a762b01fa673c11fd26c79c32f2ec1b5bc20c90e95da544506ab4d2a962325	880
167	85095494	6c8464e1cf37b9f25ddbfee60be275190d571f5dbde8cd6a25e6cab143af0eaf	880
168	85095495	6e05767631a788945b3ba814af0b3dfa68b19bb9655be86c1cf3835e6cb6312c	880
169	85095496	ff5747b01d5b3b02d6bf8b7e348be636e4398dac89bb6a53e49c2bc32006ce83	880
170	85097850	d65b7687738bc7e76a37255919889df943cc94cdcc79648a06ff1e948351d8f4	880
171	85112544	e0d18753543554a12dbaa5e5f8f5f00f4620afcaa988ca8b60c3863810644acf	880
172	85112545	68a3109db8f017fa8f129f31b7aa80df23a9be184a31011bb0e77d2e8d47b3c0	880
173	85114158	7b587808a7f6b135ef91011be9b42fcbb0892da50963822e47a5827ced8653ce	880
174	85114160	9e72b1ee9ef828ecd762f3080f290cd69f0aede8e3a2a1f410eb2bce190e088d	880
175	85114161	fffba8ece58e3c2b48b4907dc73a50866351a647f8d9b2c3270f6ba1455acd27	880
176	85115548	e143809d1e5c565db890ff833f00a6bf6de97401c113339d0d5f8562bbf384f0	880
177	85116877	04a1e58b44bcd7d7ceec782b33cca7c21483ebb0c89d87e4ee294951ab63ba7e	880
178	85116878	c881c90368aad710a60191747814a76e6f2ce660bfa0875651fabf206c18d089	880
179	85117504	7dc3097cb42a2acf88eb0283299caa55e666bded80d495f7daf7210f5fc87a67	880
180	85117505	86fe4ecdd1889b21d021a2f43d398bc55d64cbf04e3221cbfde067182151ef3d	880
181	85117506	a95271aece871c2a870d5682be5df0c74c5ab34deb28cdf9430015b86933c4e1	880
182	85117507	1e7ba56f7d34fb5c01b595d7c3b8765a6e0c6e353beb9bee82a1857760d1f2f8	880
183	85117508	0358899f37cd023af560cf5f01c450d346df813871e3d1481613f494fcadf27d	880
184	85117732	1406799b290ad9518574399f3f5a620de7b83fd86656fbdec70134c65d4ff09c	880
185	87008378	aff2dd413588fe080eb2ed7555148c3a1d79de303426e2cd469dc6c6d1c33368	852
186	92402	b40fb7ae322ac830e38ecfe65fefd0ec396cb79f92db91e3cf9a1bb673cad0f3	835
187	90648926	9a567fde7c65bf85bbc2b109277933431ebc8a35de321a4b6436601d68aa4521	829
188	93005	b9d69463c500b81dc2ff600d0b528b15fb816c4dab11e424151de0bcbea7f26f	824
189	104949	df543227d4831f90e7a5abb18bd67c4aecdc9413c835f155e09ddd6c4c901360	814
190	8388076	79697dfc0105a9a7ea331199d57746cd48d492f177d10a1de61a30e3a2eba5c6	807
191	13674421	e3e60243cad68a4a456acc5639dba532bf055e8b6d5f5185fa0dbc4a4ce25788	806
192	87437978	61513a75f4c6c06586d529123cbd392b8f3ccb4969ad0734349a6f6d3307934e	781
193	8775663	4538f617a38e85507965c41c30ae95cb59798ce90e9d7fa5d82eb23c6e7d023b	768
194	15987605	b8db23e824056e85ae88b67b127c60ab510310b876835663907e000ec8fc3ef0	745
195	13611642	82abbfb4a756bbe85c6777370e0dcf7ed5b49130290a5c10eaeda60b382d8a80	742
196	101626	754640b644a9e5b37be661eb68667da366c76b00064a5d0f7beaef13b98eda8b	734
197	140436	73037ad07148f367b783338ee1eb056fabefdc0e3c9c9422354ac9410013ae97	715
198	11685064	89f72967c8a615cfdbb5bd9c89157a4b6de5ee5a6ba1eafcbce2abba93870abd	704
199	6185218	22cb6f712e5ced5852d233bff146bb10d21fd3e5c6a551289fa053608904c437	700
200	213599086	2666f12f5608c08bacd4bb62c15487ee767d9884b7ebc6dff737c2fd7a490904	700
201	15149298	659135664894e50040830edb516a76f704fd2be409ecd8d1ea9916c002ab28a2	689
202	53367902	6c3824b432103584253007d4c22093d6f418b1b3d7e26f80aee69b5524ce8214	677
203	70720282	bffae5d5f0beeaeb56e99bbfa1d268d7afa0ebd3311d46ce811e7df96a8c10ec	677
204	86963879	a72a4a2586f8190edb17d7a3b07d552ee2ec384598b002375a9fc69cdd926b5e	677
205	137079963	60aa23611a016cdd45d0c38956321cec3502c76fc8c89286addc2ad436ef71ba	677
206	143959105	def374bd7948befed085282b4e8a142cf71c9c615b7306ea27353057841f6969	677
207	170138704	9bd09ae3f229552467bdf0f9685a5348698c11c2340cbef31f730c1a9e35439e	677
208	171460735	550badfbec3e7a47d0e6fcf689118742324d377f5c95384537eeb7be2d3e9b42	677
209	179101844	5243ed028802b62907dc07b58a919d8e1230e1667bcb66384dbd045af6a10e0a	677
210	193704028	190c7d3a18876f8e8ecacbe9b3a762c79b9ad6f7a3db45f06dbb79151b72a46d	677
211	195838428	3dd572c3331f8e43354c3490dcd850ad2b07634c9e267459d7188e3dcd596745	677
212	202640294	cbf27a19867016f013e8bc2ca7c2f260c8cfc5d5c8bd6f8418f6524a710a7460	677
213	239720599	8095946ce59c2a9245af14334f91f8330bb6d4a269090d7421b290e0f7ca420d	677
214	241427053	794b77aac5f4bbe4d2179abf85fd5e0ef65a8caecf11541a81258c1d96ab360f	677
215	243016097	2cc25cbf452cdb18a2dfc2bca15633783028f7b90e9d71a82fa030aba9641212	677
216	121702428	6a2a62eadee7998e91e8b1c89bbd879b3250a5776b2d924f8ff775a130ccdc56	676
217	124294092	9131c4d7eec1e61cde888d293e6f0c0eaf9ea01c388010b86691d1b667900c8c	676
218	139178541	d4e862ac7f293d7866a1a907a1218348d97ffbab620b99e6bdd56ea6fe6f06c3	676
219	154919687	d2b99d070eac529aea36a67bb9ab166337b0f3bd7f08d9c4417ce6fccc70638d	676
220	172183120	323a3e81488616d682f5d3909758219a84cf61e343e25bdbe34e10739d9b7e5e	676
221	173517953	80a24c564d5a01ad89a4da5c2fad28d5dfc21750f2cf46fdd8595933e02e9a90	676
222	190185200	27f7e7fa38a5f93614dc75b057d14e8fe69889cf05644c97a5c92288d0b03303	676
223	207038216	22583026bd4d4e47d2d51f2cb3647875719b0c8617502922e86b4612367f26bb	676
224	218037037	4258c248783d20df73d5c0098c69aec99f6212861e0d79e323c491ff772a6fe6	676
225	226956911	62d90324c0983fdc81e10a9c6daae5c5c08d854b15521df883542adc2b9fd245	676
226	229015403	cd9a424d676b385f987a2a85872e5476cc060677a55f438bbe0871556ba0db2d	676
227	235698098	65c3d7132f679dd901f8756ed9842b9357a6bf448d548aa084b813bdb896f4f8	676
228	236294490	6326e9c74eb237425d7dad75d0d50d732b54f2bcff7a17660cb37a47ae3b8c5b	676
229	236294491	4b32f1a2a0c61bf6e13edeb30a19cab9e2a7902b220bef6ec2ad8b62037590c0	676
230	236881888	a89d33d60c32f6632d125221f5fc46b6d6d58124e6f6ada10f47c579d0e5fdc4	676
231	240109690	34c386faf0f4202d945a8715407acbd1ecadb0b53f0975d97a75590f1e7504b1	676
232	242090776	f50008a5273f828b6e94a99d67dcb4ee29dd3ecc99ead85ad4b4f371033d7a1c	676
233	244905604	0683d28da2c3308341a7de796e591972db993635e50f061c79a5bb98c69f49d2	676
234	244930704	b6b03f49f6a284b5c2930356f6977a582cf31b8f4ef85afd4197c23fcfdcdea5	676
235	11462643	60c835be8655c378d3c6a9d4100cd653893d0f74025d1121d03e8aadadb28c2c	675
236	48748421	bc90f812177d6b0f2b1a456ca73c2cb46a90108baab67385690b1b8544ade94a	675
237	57663595	1850e456aa9e30989bcb14669e99b33b4ec4ae75d44e0b1c8a1f8791cb910e6c	675
238	69211931	b82391218a9ea3a30fbef1ed609bfa1e0d20b93ea58aa5f48079de1cddffe052	675
239	76670717	155ea1ed496e33512691553aaeec1f9bfc97875dfcc4dd3beddff13af94e2222	675
240	76971019	afad62920257c4c636b0c50e149f6ec2dd268685b73f67e8f1f9230904908807	675
241	92849756	9201fdf9f6c8d2bc804d51e0af2f7e6c46a9c5f7d2942f8149e187e6d6d83382	675
242	107275546	e16c6afc1cbbd424e29f80252bc74721afa25ac39020eb0730ebb96d956bf05e	675
243	117690969	fd6fe37f5a891822fdf5a5da0dc9d61091ee6b1613e1c0fddc78c4279ba2f610	675
244	118687699	896ce906d04e437cbd67587becf2a76fcbd909a091e81aea589f0fa1ebcc80f2	675
245	118998289	41702e656b010b78bfc8c1bc5eda56a1a93007d764e1f1f4325b53ab81b72378	675
246	121009480	6ad69ddbc3d27fcb579bee7742b85b556552ea4cdf7dae687ed6f7a74b9b3a21	675
247	121017345	b45329e61f52b005fbb912ba39019e1b3d0c8f4ccf1225bcdd3f30e2cf75a866	675
248	137104029	b3d9ea3a1342e1aafda41c5cce8e8418f2a0617c35d534f57d6a27979f93eec2	675
249	137806689	2723597b6014dc740c42a1b124dedfcd91bf1b69216afc3a543b2615ba7c5d44	675
250	137807651	ea7f12c5957489dad67505108991e8f9e3273bf69a6811df18cb13badd79f9a4	675
251	143650938	611aa65f95b40e3accbe900b75644b99d8956540b15e94a4d8143d5772348785	675
252	145679775	358c681c6ac015fea49708de0486ec5b46d6cac5947fbd824f81dddfb7db9597	675
253	145679776	ac8153e344f42b4bdaf150e4e17fc4d12c532cf71ddfe692348074904d404d1c	675
254	165506453	2320cb6a1e2875aae52fe20b0f4f229444fb2a9f3b612b78df83d85d6d7c850b	675
255	178642810	86224c6378db34084ef5b1bbc6398201e595243c1a2f79f970c744a615de4c68	675
256	188186025	b3f109cffce35f211e26ac136c52d52d61dd51992039c36a872177c23d2f93cd	675
257	198380819	9f9eaab6b3861aa16251a2ae51e03f8fd8f4e8e3d87cdb76117222c526fae67e	675
258	202629175	e86da072879c32e154d8fe78cd8c5c5f313ba02b3395d846e5ba6eae93c3cbe0	675
259	209594199	4d61d6299786888551160ebe60755078e2113168f7b7607ba7db1fbcaf26c397	675
260	212271460	3443515fd31e021c3ac9beeb4e52ab9da5c25bb04d665203e73be254977ee2bd	675
261	215495661	ca9fa8190ef3077be0bd99c2ccc3a2376b525d647e19dc20589c53e66c9ab525	675
262	216679143	b63853dae4056570d25c4c696c443826573c76c59fc86235061a192f7c76c201	675
263	216723312	cde33631bcb19aaef183597522b35983a05b949580c688a00ede0d247ade1c5f	675
264	218324793	057e429747dc1269cd8a96b13f42fcefee7bb2219649ee14a3d54e7ce4468426	675
265	220579891	99b4c8d4d27353072ed454e4b344c6672ed479ceb64663ced77def48689862e6	675
266	230283360	5b9ebb9477d04b73c7a5e3153d777840a63bfc28c0906e070a47f58e1a50c079	675
267	230295571	6eaf607733bbecc648d20f4cdebf493df583e978a1f0140ab3e52677d7ebeb92	675
268	230325466	7b48419c24d62bbfa8b9d0ca77a06a0881ca8bbdb9691414cb91393d8b2caba8	675
269	230364601	8bc1eb608f6f9ff76e6c6df7536a8bfaf7e1cf56cd4c00afe8e1f9ff0900e569	675
270	230553812	04323307f092326232b6dbe98fb7c06c543f87458f671254f8dd1eeb893ca8cc	675
