rank	node_id	tx_hash	output_id	clustering
0	9	0437cd7f8525ceed2324359c2d0ba26006d92d856a9c20fa0241106ee5a597c9	0	0.000000000000000
1	78	7ea1d2304f1f95fae773ed8ef67b51cfd5ab33ea8b6ab0a932ee3e248b7ba74c	0	0.000000000000000
2	171	f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16	0	0.000000000000000
3	172	f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16	1	0.000000000000000
4	185	a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be	1	0.000000000000000
5	187	591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073	0	0.000000000000000
6	188	591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073	1	0.000000000000000
7	190	12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba	0	0.000000000000000
8	191	12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba	1	0.000000000000000
9	196	4385fcf8b14497d0659adccfe06ae7e38e0b5dc95ff8a13d7c62035994a0cd79	0	0.000000000000000
10	259	828ef3b079f9c23829c56fe86e85b4a69d9e06e5b54ea597eef5fb3ffef509fe	0	0.000000000000000
11	298	00ff9e64c9a2e7793e6f8c2b04072b4b22648cdedd46cd1c3ae3d6a23c8ec1eb	0	0.000000000000000
12	321	f2d386c0632e927c343cff451a81a8a03eaa6e9316dab79e56d83e218e329bd3	0	0.000000000000000
13	341	04256336e9287f3b46508888cf3539dc0ab2fc8803cbe9668749fd18fc5dee85	0	0.000000000000000
14	373	b2e862f2cd9085afd21b5b5df86598c2118a33eee8ac773c01c67026b57b2f40	0	0.000000000000000
15	384	cc1986e44472170499f108be5691ecc7008cbb5ddadf643b13a2becb56f85c5c	0	0.000000000000000
16	425	83ebb2006c7978e45508b6f0d75dabc3391610caf5d154a803394d1b9d6700e3	0	0.000000000000000
17	475	fab941c771959a1addff9c57482b40d557ad5d3d141ab11b82daae3c07e1264a	0	0.000000000000000
18	509	a3b0e9e7cddbbe78270fa4182a7675ff00b92872d8df7d14265a2b1e379a9d33	0	0.000000000000000
19	525	a977106260f6309232b205e87de99e1f9d892ba8d52c0b46d8024e80ce03f14c	0	0.000000000000000
20	538	d71fd2f64c0b34465b7518d240c00e83f6a5b10138a7079d1252858fe7e6b577	0	0.000000000000000
21	561	35288d269cee1941eaebb2ea85e32b42cdb2b04284a56d8b14dcc3f5c65d6055	0	0.000000000000000
22	562	35288d269cee1941eaebb2ea85e32b42cdb2b04284a56d8b14dcc3f5c65d6055	1	0.000000000000000
23	564	28204cad1d7fc1d199e8ef4fa22f182de6258a3eaafe1bbe56ebdcacd3069a5f	0	0.000000000000000
24	565	28204cad1d7fc1d199e8ef4fa22f182de6258a3eaafe1bbe56ebdcacd3069a5f	1	0.000000000000000
25	566	6b0f8a73a56c04b519f1883e8aafda643ba61a30bd1439969df21bea5f4e27e2	0	0.000000000000000
26	567	6b0f8a73a56c04b519f1883e8aafda643ba61a30bd1439969df21bea5f4e27e2	1	0.000000000000000
27	568	3c1d7e82342158e4109df2e0b6348b6e84e403d8b4046d7007663ace63cddb23	0	0.000000000000000
28	569	3c1d7e82342158e4109df2e0b6348b6e84e403d8b4046d7007663ace63cddb23	1	0.000000000000000
