rank	node_id	label	harmonic
0	2208237	null	0.176896185245491
1	66158	ePay.info	0.17312565769496427
2	12301509	Poloniex.com	0.16842750591375177
3	7320876	Xapo.com	0.16727946548428954
4	24493654	Bitstamp.net	0.16528447470181953
5	28207429	null	0.16469670758187968
6	13741816	null	0.16429859656514487
7	42310612	null	0.16337707630785248
8	13219122	Bittrex.com	0.1632224190096137
9	16445712	null	0.16277612257335908
10	19979224	null	0.16274503638497814
11	3446364	FaucetBOX.com	0.1626955993276731
12	55566459	null	0.16261727774572637
13	19495083	Huobi.com	0.16255634281555437
14	61573508	null	0.1625497678558286
15	84257830	null	0.16252570221206625
16	25506516	MoonBit.co.in	0.16242733106173857
17	9676219	Bitcoin.de	0.16226116260902787
18	9057224	null	0.1622297809624079
19	24026673	YoBit.net	0.16220631365761726
20	26634971	null	0.1621801856165006
21	15449980	BX.in.th	0.16209603904824443
22	8197113	CoinPayments.net	0.1619861489542692
23	11816843	999Dice.com	0.16195700268918625
24	20759025	null	0.16195650781594556
25	10407614	Bleutrade.com	0.16178302602992842
26	18570722	Bit-x.com	0.16172708577051892
27	7154946	CoinJar.com	0.16166624661774626
28	30579344	null	0.16165884395253868
29	283511	VirWoX.com	0.16160121792945187
30	6313971	null	0.16156280924490413
31	14671729	null	0.16155912733694683
32	22756398	null	0.16133460309565495
33	2424011	AnxPro.com;CoinTrader.net	0.16129491296057688
34	23238060	Cryptonator.com	0.16114235805261698
35	53234531	null	0.16109641513005776
36	17702294	PocketDice.io	0.16109603613340015
37	12981971	HolyTransaction.com	0.16108361269786275
38	71861979	null	0.16099463663144653
39	10787549	NitrogenSports.eu	0.16097385718496418
40	11068091	CoinGaming.io	0.16094822202955028
41	29682797	null	0.16094043856462392
42	39744796	null	0.1608709943343538
43	70206152	null	0.16076801031220994
44	21539181	HaoBTC.com	0.16075914374965972
45	2113642	BitBargain.co.uk	0.16073955754328015
46	39986671	BTCJam.com	0.16073359535566328
47	2404764	null	0.1607002270940342
48	21112271	null	0.16067654867269293
49	77733609	null	0.16065807418033226
50	20305177	SlushPool.com	0.16064253987281293
51	15223609	null	0.1605705894360422
52	18864808	SatoshiMines.com	0.16055856603276608
53	15629102	null	0.16051883178713128
54	8944551	Cex.io	0.16043415566813204
55	17699141	null	0.1604064336443293
56	45964947	null	0.1603939114759122
57	37806710	null	0.1603660976103581
58	8556811	Purse.io	0.16032290221439557
59	19386686	FortuneJack.com	0.1603140346449605
60	62585285	null	0.16030566194614929
61	31451949	null	0.16029621234631317
62	22816911	null	0.16026507109282806
63	73569821	null	0.16022503895817158
64	29893951	null	0.16018850090078884
65	4297858	null	0.16017913841923265
66	20014487	Rollin.io	0.16017725516178297
67	17231364	Loanbase.com	0.16017212335076406
68	53566924	null	0.16015011250616548
69	5725760	Luno.com	0.1601493258897897
70	23190090	null	0.16012961508212897
71	18103338	Hashnest.com	0.16008836230186285
72	21466862	null	0.1600650797687425
73	26942021	null	0.16005808564763213
74	28596640	null	0.16004844488703882
75	21767772	SatoshiDice.com	0.16004244368973344
76	15507352	Genesis-Mining.com	0.1600119459549668
77	32379163	null	0.16000205141485227
78	18271779	Cryptsy.com	0.15998922934216564
79	73448469	null	0.15995845243162335
80	15394314	null	0.15993823237592797
81	59686948	null	0.15993508370442763
82	58840318	null	0.15992822714446078
83	31080740	null	0.15987774956983233
84	75190572	null	0.15986465875162487
85	86205922	Cryptonator.com	0.1598509738479462
86	9115666	Paymium.com	0.1596929024701896
87	33836967	null	0.15969255442187852
88	28325795	null	0.1596406036753457
89	8884400	null	0.1596285597457483
90	75579381	null	0.15958234803819296
91	20008679	null	0.1595520798947306
92	47633559	null	0.1595258412633455
93	46044589	null	0.1595188711195819
94	65895376	null	0.15950992407913808
95	50213218	null	0.15946562743672452
96	18287832	null	0.15945529057539976
97	27207488	null	0.1594456705243628
98	7399067	Bitbond.com	0.15937518299854245
99	51832	null	0.15935757186024693
100	30739518	null	0.15935609703542017
101	64220803	null	0.15934089046655042
102	14631111	BitcoinWallet.com	0.1593072127292829
103	32259252	null	0.15929576396358497
104	9134796	CoinKite.com	0.15927630323872055
105	18029727	null	0.15925912932165845
106	8807258	Kraken.com	0.1592476479057118
107	27114044	Paxful.com	0.15919813126847407
108	22005128	null	0.15916479478167284
109	68213422	null	0.15912027107456025
110	46716635	null	0.15911620942586685
111	63783416	null	0.15910606938085797
112	53957141	null	0.15909374300174378
113	99862832	null	0.15906734689975244
114	69108960	null	0.15905197361636123
115	37133779	AlphaBayMarket	0.15899258252412515
116	89541379	null	0.15897030022655115
117	70202029	null	0.15895351665133653
118	32110173	null	0.15894184879117637
119	598316	null	0.15892691119619826
120	106223334	null	0.1589168512269837
121	47641862	null	0.1589159822535152
122	13182505	null	0.158901139493874
123	30928926	null	0.15890027636002826
124	82828827	null	0.15885836259818883
125	73449800	null	0.15885671063585488
126	11942856	CoinSpot.com.au	0.15882049574381696
127	66630716	null	0.1587994665245683
128	53782379	null	0.15877027299400265
129	39209343	null	0.15876685889215603
130	54581740	null	0.15876312034396195
131	90168212	null	0.15875941439946367
132	78728051	null	0.15874485276583863
133	21661315	SafeDice.com	0.15871907493580192
134	89310458	null	0.15871900060003416
135	106080620	null	0.15871601354333986
136	46362418	null	0.1587064630254797
137	51962574	null	0.15870578669313146
138	71561193	null	0.15869290885544346
139	11875609	null	0.15869094687418692
140	62963991	null	0.15867869167428753
141	39729885	null	0.15867812203667117
142	41071558	null	0.15865182785088403
143	39849106	null	0.15864657957398826
144	118740892	null	0.15861306193280436
145	34350831	null	0.15860673322523788
146	22116220	NucleusMarket	0.15860483223533792
147	18694575	Crypto-Games.net	0.1586024058502097
148	96823169	null	0.15857264226400283
149	41693214	null	0.15856737071156252
150	11629454	Igot.com	0.15856067792390277
151	32554358	null	0.15855298464023454
152	21695167	null	0.1585515568629706
153	17495950	null	0.15852320351709775
154	124495457	null	0.15850490712912207
155	15048973	null	0.15849156202169046
156	25569682	null	0.1584900378727079
157	4105036	null	0.15847321926449087
158	18818206	Bter.com	0.15847065366702612
159	105824452	null	0.1584631798071105
160	42831399	null	0.15844047646677625
161	69529824	null	0.1584221883473922
162	20443865	null	0.15842207310916626
163	81877966	null	0.1583995384744497
164	4645113	FYBSG.com	0.15837077966122798
165	17495108	LakeBTC.com	0.1583670067938432
166	17694269	null	0.15833664685082194
167	101789696	null	0.15833093061385006
168	43876163	null	0.15830047741289993
169	14024306	CoinMotion.com	0.15829589140140649
170	24091745	null	0.15828381201518962
171	40890543	null	0.15828218880877906
