rank	node_id	label	in_degree
213	53957141	null	57939
214	75147617	null	57656
215	51962574	null	57058
216	26409292	HitBtc.com	56665
217	76805086	null	56289
218	30095273	null	56185
219	8694608	Huobi.com	55648
220	3446364	FaucetBOX.com	55439
221	28539159	null	55361
222	2222134	null	55351
223	3983082	null	55201
224	2113642	BitBargain.co.uk	55198
225	7377879	null	54809
226	115154354	null	54116
227	37817115	null	53819
228	66725954	null	53739
229	32355	null	53343
230	6409486	null	53236
231	74147767	null	52954
232	17234220	MiddleEarthMarketplace	51407
233	2404764	null	51218
234	32379163	null	50802
235	29539369	null	50479
236	5041683	SheepMarketplace	50407
237	31708827	null	50352
238	94896866	null	49690
239	33867530	null	49594
240	34478510	null	49567
241	18570722	Bit-x.com	49360
242	30069639	null	49067
243	8556811	Purse.io	49016
244	31766758	null	48794
245	75054403	null	48677
246	44119279	null	48445
247	38512523	null	48179
248	3488941	null	47952
249	24220107	null	47915
250	67384807	null	47601
251	7165168	null	47376
252	17031788	null	46845
253	48684872	null	46448
254	105855146	null	46142
255	1847565	null	45983
256	51832	null	45913
257	43135117	null	45347
258	47273356	null	45239
259	50567749	null	45101
260	13415572	BlackBankMarket	45065
261	20576698	SecondsTrade.com	45063
262	21176187	Betcoin.ag	44742
263	29893951	null	44116
264	46268078	null	43920
265	21767772	SatoshiDice.com	43614
266	19749820	null	43459
267	32259252	null	43299
268	17951806	null	43113
269	6829919	Vircurex.com	42594
270	18611735	null	42278
271	71200159	null	42084
272	39673000	null	42068
273	32901515	null	41986
274	122586750	null	41749
275	50537217	null	41450
276	64060986	null	41372
277	29352131	null	41335
278	9573080	null	41255
279	2792112	null	41138
280	6553962	McxNOW.com	41017
281	84007945	null	40913
282	20305683	null	40868
283	18442057	C-Cex.com	40585
284	32554358	null	40516
285	16561814	null	40208
286	24951867	null	39967
287	11629454	Igot.com	39637
288	52363083	null	39594
289	15735412	null	39453
290	90135057	null	39446
291	80648079	null	38170
292	79250430	null	37756
293	2654760	null	37698
294	26537102	null	37289
295	75886531	null	37205
296	16737379	null	37201
297	63395038	null	37074
298	62585285	null	36662
299	88734256	null	36482
300	19224803	null	36472
301	51913876	null	35983
302	4297858	null	35958
303	31006267	null	35793
304	29300304	CoinHako.com	35770
305	34863419	null	35510
306	7120169	null	35427
307	34863443	null	35375
308	34863403	null	35350
309	34863451	null	35254
310	12282176	null	35222
311	94149019	null	35214
312	34863420	null	35171
313	34863430	null	35160
314	34863411	null	35157
315	84176679	null	35066
316	34863467	null	35055
317	34863438	null	35038
318	34863432	null	35024
319	34863433	null	34975
320	50898235	null	34969
321	96823169	null	34964
322	34863428	null	34942
323	25569682	null	34872
324	76190527	null	34723
325	16737338	Btc38.com	33939
326	69978508	null	33719
327	34863412	null	33573
328	79325040	null	33361
329	29470712	null	33237
330	26371101	Exmo.com	33070
331	11250004	SatoshiBet.com	33039
332	125181674	null	32648
333	63783416	null	32458
334	9606830	PandoraOpenMarket	32351
335	28944274	null	32315
336	39986671	BTCJam.com	32149
337	53317509	null	32097
338	26389936	null	32014
339	14271305	null	31696
340	91260427	null	31634
341	55158308	null	31522
342	50902173	null	31342
343	8923618	null	31094
344	93396384	null	30755
345	82364961	BitoEX.com	30718
346	20443865	null	30548
347	89541379	null	30545
348	128060811	null	30402
349	30871630	null	30387
350	74551311	null	30385
351	41441542	null	30161
352	1096804	null	30003
353	37276987	null	29762
354	101035348	null	29690
355	43009116	null	29685
356	54230536	null	29625
357	63979375	null	29480
358	2444252	null	29415
359	9370172	null	29310
360	13512672	null	29091
361	75485290	null	28685
362	27776648	null	28684
363	109170967	null	28585
364	79469995	null	28417
365	26658657	null	28338
366	6287082	null	28091
367	24940332	null	28060
368	35677550	null	28018
369	129557714	null	27924
370	125618551	null	27589
371	116500398	null	27352
372	14887368	null	27293
373	38799630	null	27119
374	20324526	null	27083
375	85788997	null	26764
376	72074931	null	26656
377	34863444	null	26646
378	110676743	null	26630
379	10622812	null	26555
380	115120270	null	26517
381	27028318	null	26491
382	31974309	null	26351
383	21201214	null	26330
384	69108960	null	26210
385	69689402	null	26200
386	56460097	null	26124
387	133240760	null	25989
388	109616732	null	25974
389	125207618	null	25610
390	7524923	null	25575
391	20031702	null	25485
392	17231364	Loanbase.com	25374
393	2221081	null	25310
394	555456	null	25308
395	800262	null	25257
396	21661315	SafeDice.com	25027
397	47113532	null	24900
398	1410892	null	24897
399	34863424	null	24868
400	31954377	null	24836
401	4323111	Justcoin.com	24759
402	61788178	null	24740
403	54065651	null	24663
404	14680730	Coin-Swap.net	24614
405	27437299	null	24571
406	14182946	null	24549
407	75487555	null	24287
408	58904831	null	24269
409	33264475	null	24261
410	33264476	null	24261
411	37143480	null	23934
412	91737397	null	23841
413	14075700	null	23807
414	121007316	null	23749
415	11102086	BlueSkyMarketplace	23684
416	7502143	Inputs.io	23431
417	118846366	null	23342
418	1101058	null	23276
419	18694575	Crypto-Games.net	23114
420	14417432	null	22992
421	53782379	null	22735
422	78718021	null	22690
423	84586132	null	22598
424	20744912	null	22591
425	84583153	null	22498
426	118740892	null	22283
427	83133549	null	22206
428	23652294	null	21967
429	100927147	null	21962
430	3982564	null	21945
431	6513998	Coinroll.com	21900
432	7714550	null	21880
433	33069180	null	21812
434	74139446	null	21811
435	88019089	null	21554
436	113720016	null	21554
437	84586358	null	21550
438	84581600	null	21500
439	50429905	null	21469
440	48173470	null	21397
441	19145998	null	21253
442	84374956	null	21203
443	15536404	null	21157
444	20015444	null	21017
445	20322807	BitVC.com	20988
446	19296829	Bitcurex.com	20931
447	8981019	null	20904
448	5370581	null	20883
449	23683884	null	20878
450	22926850	null	20876
451	12677125	null	20871
452	31698508	null	20869
453	22689160	null	20866
454	22688097	null	20864
455	25554290	null	20856
456	28725858	null	20853
457	33680305	null	20852
458	33680307	null	20852
459	33680308	null	20852
460	33680309	null	20852
461	33680310	null	20852
462	11347536	null	20835
463	37475849	null	20793
464	64482532	null	20758
465	99408078	null	20744
466	16172037	null	20694
467	84579846	null	20677
468	40413685	null	20607
469	89046612	null	20483
470	84586058	null	20303
471	10376864	null	20216
472	26674004	SwCPoker.eu	20215
473	21697526	TheRockTrading.com	20185
474	31803968	null	20141
475	35119717	null	20137
476	7770795	null	20110
477	15048973	null	20100
478	32814644	null	20000
479	125885529	null	19995
480	123280202	null	19994
481	52744707	null	19940
482	40779637	null	19832
483	11941783	null	19823
484	41693214	null	19706
485	10525915	null	19684
486	56688334	null	19626
487	8251997	null	19521
488	8490475	null	19476
489	69606189	null	19442
490	1667463	null	19395
491	90273700	null	19248
492	48958246	null	19172
493	95380053	null	19061
494	19979224	null	19008
495	97668795	null	18948
496	119910614	null	18908
497	65963933	null	18869
498	26028607	null	18868
499	6655734	Korbit.co.kr	18818
500	9576609	LuckyB.it	18732
501	18029727	null	18641
502	108134402	null	18600
503	40022223	null	18576
504	1984926	null	18547
505	52744147	null	18530
506	113769159	null	18396
507	24205080	null	18381
508	56705674	null	18258
509	56765345	null	18202
510	8723130	BtcMarkets.net	18130
511	907415	null	18111
512	7927811	null	18100
513	4645113	FYBSG.com	18056
514	15302714	null	18054
515	27790393	null	18040
516	25409060	null	18036
517	116454231	null	17955
518	41534126	null	17945
519	10199819	null	17884
520	20902373	null	17871
521	50727851	null	17828
522	26029029	BlockTrades.us	17777
523	21393751	null	17740
524	46161226	null	17668
525	118435922	null	17660
526	122921919	null	17628
527	18287832	null	17608
528	948208	null	17607
529	4692217	null	17606
530	5752727	null	17590
531	21137253	null	17544
532	30773814	null	17488
533	43619512	null	17409
534	12655279	AllCoin.com	17334
535	36747083	null	17210
536	9115666	Paymium.com	17185
537	2742023	BtcDice.com	17179
538	114022024	null	17172
