rank	node_id	tx_hash	clustering
0	14584	b4a48e2416e6e2c3bbb42a4025ad3ac9d8c2bd1f02494a3c76fd7dee9fba6f7d	1.000000000000000
1	36238	a1e621b21bf7eff452987242c6b9610272a743e3ca3c441aeeeffc4dd800e8f7	1.000000000000000
2	40372	3b457b2f8639b1db8f14a23243f326f6c93383b175238f7586341682db5df39c	1.000000000000000
3	40533	5f4d42248e16acece4bf2bb976130be6a804a2fa87a6f425ebbe0a5830d0ff21	1.000000000000000
4	40551	e804ecab2a1d57b6a7f76310d8f21db97ec1b02dd9454525583593bded50a2b9	1.000000000000000
5	47295	3669b1c4cde12caf4e40507e0f0251b8963801c3e259c70994d4f7dcf14c6f8c	1.000000000000000
6	47670	f86d6e5157b6db2faf20ce70e10161fff32ef6e6ebcb51e938f834db64f839a4	1.000000000000000
7	50480	7dae8550f023a23d4ee6e9df8092b3851a29bd00eb94e7f17c410e598c0a2275	1.000000000000000
8	50652	a5b9735e984a51e6fe86cfea481a47ced6090051e8635b42d7031a96eca57f95	1.000000000000000
9	50946	01b5ac75013013cb6a224124f4040c06fef9f1da2e7c8180a7240438164d28d3	1.000000000000000
10	51331	a7c49e6a448340c3793baeca1447e20952b219cd0f121de5bf5ba3ea2a353c32	1.000000000000000
11	51819	1c3aaad9906c92e62b9a143e592fb0e80db12af4f696f6aeeab95c6914ac5e37	1.000000000000000
12	51825	60e1fbc90991ce9ecfdda96a5a5712d933860609aceaaa2e0f1eb3e686866d56	1.000000000000000
13	52466	3cd28bd568f95a53dfd9c69ea758dda54cb3e613e8f22eb76a251b028e9ab657	1.000000000000000
14	52943	9ba7a2b93499df05e42f54812474709befc030950d1715207e79a1428a419e50	1.000000000000000
15	56491	472d670508d636c996551636a1b82575fcbe5d01c07c89c79f746107ee61bdc7	1.000000000000000
16	58426	d5409783b5a1b3fb421bd21e812bec809af075153baf0e57b6dd4c81c96a8798	1.000000000000000
17	59613	8341a6bb2eb2cd5f247fb5e3c77722c7e8229db630c5296fea179d256ff9f243	1.000000000000000
18	60040	77b708c27cbb51d454283a907a3525f95fe17a29c9f65e5c27abba3ec1f49c6d	1.000000000000000
19	60086	966609559528c1f8303082a7718ad1b32a958b39c7911db3665f06ec66089b0c	1.000000000000000
20	60925	725a93e1e8d5d313eb53d41e84f5aa302c46be02fb461dfc3203c58d098dfd66	1.000000000000000
21	62160	e23ff072611e5d730827af11dcf982831551e906af97d9b5c3de78354c032906	1.000000000000000
22	62385	da9574640c4e02e50ea11a0392bcf1a624e6d3b857e9fd6a0700e9b203bb776c	1.000000000000000
23	62430	3b8328fe7e53a8162cf023738a53c85a3cbf21efe517ab878e8cfecc3a2e22db	1.000000000000000
24	62435	e380c6c0b1ceae9d396d479bb9a16ccdfd72bd6902fa481ea23a4baf05db4c7d	1.000000000000000
25	62441	37d566ef2f3537ab9d5a0a57fa383ac3a476b0abdd456c3538562725f5febb74	1.000000000000000
26	62530	d9a8e7e04aec530604a1f9ed66e302591e7395bb2f7477261949eefaea34de92	1.000000000000000
27	62535	8eb65266588615fd7c35f5152748fb63f5668c60017ac82e0213f840a9efb718	1.000000000000000
