rank	node_id	address	label	clustering
66	6516	1MNLMN7d833o2eSLQN2MqP4fcmyFZd1njo	null	1.000000000000000
67	6559	1JEJWQrSndrphHREtFGrVReE97CGrvAFv	null	1.000000000000000
68	6619	1JcQyYbf43Ce6ZHGBk6Xzt41KxUVxo2CVS	null	1.000000000000000
69	7174	1AhMx63CHvwE23iHVG64XNUz9nZQH1sy2g	null	1.000000000000000
70	7207	15jB99sGPoBBYP1ypJS8bo5TyHSasC4zLY	null	1.000000000000000
71	7222	1LNhdXhp65GCp9GnnAoYDbSCvZ6x9CnJhR	null	1.000000000000000
72	7298	1H1sPEEdjnTBwoP32eDwkWkNVhGybDXa2V	null	1.000000000000000
73	7496	17Wu6GuooBxmjUDmctNmRDw9xoLEVhNndA	null	1.000000000000000
74	7541	14fJAnsZct2PG9CcB4CsmTZMDaxKKxegLC	null	1.000000000000000
75	7556	1FJgLXMixzeEhSBJW9aEWoQo4iQLxCvXL2	null	1.000000000000000
76	7599	1EQy3PMubDxopaa4aaYS4pHpCcD445JrHp	null	1.000000000000000
77	7619	1MwKUSgFrGfRuvSsm58bWaZCJnYfo3cskM	null	1.000000000000000
78	7655	1PP1N73km19KVE93dvSFcdVqR3PUZjsmcE	null	1.000000000000000
79	7679	1LAiJ9uHkdVi8aXvrSm7riYExesBXz9cmQ	null	1.000000000000000
80	7681	1G98JpNRJeG1bgCwQTT5gyMnrzi4nEKA3s	null	1.000000000000000
81	7685	1pgwi6odq7VTahS2LqgmsqzemmGsNGTLg	null	1.000000000000000
82	7962	1EE5YxZRa6b42W7cc2NupRVN5eSiKbQ4XZ	null	1.000000000000000
83	7970	1BLR4w8fRKNb2v9rzdk6DhF6tPxyMDaCz9	null	1.000000000000000
84	7986	1G9taZ2a7zgwMExU2HiqEdkdUPxPpbLjt2	null	1.000000000000000
85	7988	124vRBU8W3s3vkoEaM9ry57TkHC1dvhqdV	null	1.000000000000000
86	8003	1PcD3PbrcY8TrErVMJxaCLZTL7YEa88p48	null	1.000000000000000
87	8083	1BNG74afkbvzYWgjR2smTRoqCn6jDCWKRt	null	1.000000000000000
88	8105	1265BoRRMU6YaQY5y5P4mpwXf941JLNNZP	null	1.000000000000000
89	8128	1L3j41dfmTGs1iSZmChZaoAnpZMajrDTS4	null	1.000000000000000
90	8140	1Wk1y75kg6pMJKSvbTwzenE2mxQpZagmK	null	1.000000000000000
