rank	node_id	tx_hash	harmonic
0	854691	28346b42ad993ee05f53959f689ab20ea2a2225e27b23374d8b312a0468ad39f	0.0426131642432457
1	15734863	3fd2153dc8bdc2a5161672d08b19a8403c90221907426bc56bef49e52902e6e0	0.04256961016457703
2	31131635	ab3bb38ebd0f4709911dcc1da8219a6df9fdc8bd7ebafa8ac468014ca8c36fc5	0.04255901891473937
3	15734742	d090b4c571f3f6fe7e54119d9bd13ffaef1b1db7313e0ce604d000079306e8d5	0.042498659976162326
4	15261055	bb09b6400501187000915c7263a8d3d6977f63979384dd3dbd0c29b9f464ac91	0.042423607738040055
5	15029302	35e6cc18105bea2b5648fc46e4c1935097af99aa250f8883cb9592892d47c083	0.04241479349347894
6	951350	1c19389b0461f0901d8eace260764691926a5636c74bd8a3cc68db08dbbeb80a	0.042401005403210776
7	15483166	10ec49d42fe55d3b7b0ad28e911035b83206d28f60ee5a702883fe50c7449813	0.04238470026460486
8	31733622	6b85108e126ec81620c5c45801ba2a72666fd56b21a4dbf7d4106745a2011884	0.042355687848211004
9	28993745	ff2c524a48ae0def94041993f70c2506e6000145a2710773996630601d4ec648	0.04232638873634354
10	16164454	4a59403722cb4dfba8af93b60eddb990e47401401fc75139b8fc1a1144ac1b4e	0.04231910454834923
11	15101463	1c1d8a75c8b6ab858e236bb4adaa73f27e3b478a976c86b826cf5a904343330d	0.04230240684440872
12	31355963	a38b87856c9328a18d12fb8ae5f0471ba62cc2e80414d919dacc57741ef04909	0.0422405837704897
13	15729268	9a93c75ebbf4af6749cbf7f4f57a93449596bb4bc15c2026f7a6448ccde7b854	0.04222024212917392
14	32490851	ef086bf7ee8a8742fe16a14ac0f3535293d8fe5e8ae0331357508b60e4d99e52	0.04219244640035367
15	15210160	f1fa11204333fe54bee57bbbed96f09f27f5233d0fff47df8c4ddb9698c20aa9	0.04217005618912704
16	15862245	3527c5ea458ac11e4ecf2890a5e7b5b2c8dfa712e0e2ad85dd56011587c19a75	0.042161890214003114
17	31796575	37a70afdb40c7fc85f1c76d17d9af8dc428f0861058d74379b5ee595d8440309	0.042161277794333485
18	31014362	9856b050c2c96b1c57e3fe64b6406d810735860d2bfd5f1e5ce0d82901e1ad3d	0.04215789397222059
19	31797361	bacefb3306c2c52eae852621905f89b6d930aeb2c8360deb06d757ef54179a6a	0.0421480570121088
20	28859197	ee4091d3d6cd192538ea7348c6a231491b5d189a8e220e8383ea4e52f3a4fab9	0.042146815600338276
21	1035340	d50871077b83f7f2497a65c8ff00172c9bbfefd46cd2c4c258a2cccbad337d82	0.04214589618779938
22	14661439	d859b10c00479a4dc62c3c5ea9240ac54c22375cbae9d3e1f4da3a8809ce4cec	0.042139888388786004
23	15210159	3bdcbd4468f3676132371bb025aaca28b00703bffff2130996b7d277e0d301d8	0.04213905215538331
24	14086648	a5b99fe1bba9d9d258a17363e998da8cecc71a3380f5557b967908d2dd49501f	0.04213374290487741
25	30068342	47d3567d027032d82378badb4fb5ca75b3baa7d5bd000627b7a5147ab036787e	0.04212310052296759
26	15949534	7be4dabdb384f272d1b4395def35b6cec43ef08292535649f330a08e8da49553	0.04212113577987072
27	32739591	55b7903f7d5219886bb4c94b1cd4a1b347c27a03b5d17b6f7384e4d067fa386f	0.042111518549274966
28	14850634	391a9f3fa5cf57ae3d26466bc21f8f42d879b68656700d4b73d1d5d8aa425109	0.042111297902724644
29	16164452	775476029cc6a34a9fde12278b5a6160a06659125da5c99069bd0cb166443f82	0.04210681299277957
30	31622488	783adf36df23a5d5ebe52d525940459a8ac666ab789c60fc4d5e8384118911a1	0.04209780222959669
31	32948350	5189ca79b6f1f9114a8c1dfdd8dbed2b4dfa39c6f5d1b5ab1eeacfac09aef7e2	0.042094802851890344
32	31921355	bc3f9714e97382c11d3283f521694aead0a221e6b41c24afbc01eeb65409034b	0.04208241109457501
33	15092986	90559dfa3a8babb844e63d4a56722c9c9467aa60bce4eca09d9dc0b7ddfd5907	0.04207844950643493
34	29705313	6d5374abbf0ab4569ebe7c14f5ce93a734bd48e3508f75663bfdc3dcb61e3e29	0.04207041139606133
35	8090875	11ee24e703f14203be0cb6bd1e31120167240aab79a400d75fc322d8fedfc5c4	0.04206730083447655
36	14968662	b0335d4ddcabc8a00e6fa7bba8da60a764e23d3762260135e475558c69c268bb	0.042066099375560766
