rank	node_id	tx_hash	output_id	pagerank
0	256314106	40dbe75fef6b23e784c9893c875b5f05b17b7c7d98e3233eff659fc8453978af	0	0.000185144076673
1	222798867	ca0447b99a1fd68fc157b9cd45343f4793ec9d47818d0375d51675113110d99a	0	0.000175254387744
2	256340837	19fe195824c6476cf92ff561bc06cdc81d57779a787951584ae6efc186b70c61	0	0.0001573967537
3	222825236	63ee97718060c38fd88d3680c6879528783010b137a676d3d1a84c6c2a3387ff	0	0.000149135294081
4	105891237	7ecad9a3e67bebda52c0bdafb53863938b86e30e58eb179aec747903b50baa2d	0	0.000104446307337
5	621903800	e917bcd15bf766d5159cc97b4ba313d18e23e79bdcb10a09831143c793e1c538	0	0.000081422559581
6	621903801	e917bcd15bf766d5159cc97b4ba313d18e23e79bdcb10a09831143c793e1c538	1	0.000081422559581
7	402359920	75efa6a3f9f681259573830c811d9880daa8b23ee482d31099027f2adef54a4b	0	0.000073394438565
8	621913165	2a3d3ef1819c33907dd27635192b4d8323010f86bd26eca4cefed484427fb170	0	0.000069676758678
9	258378806	61389de9e17f4e5e043ee12c58a7c2f3c84f46f0637ebddd71ae544be961966b	0	0.000066893895752
10	258378807	61389de9e17f4e5e043ee12c58a7c2f3c84f46f0637ebddd71ae544be961966b	1	0.000066893895752
11	256297132	e0d18753543554a12dbaa5e5f8f5f00f4620afcaa988ca8b60c3863810644acf	0	0.000065048919031
12	645403176	041ca6e8101aba2e8d572c47fe5ce3f8bc6a0b4085bf8623bb934ce75860f0ec	0	0.000059566020289
13	452794969	9e19cd54b28a01d8f381919905cd45e536995ac035a9ec47872f8235debcc779	0	0.000059554264391
14	556421232	5e156414ece814fa95f71f4c68de0d3ddf9535195654e3c1d89963e7a25828b8	0	0.000059237878393
15	556421233	5e156414ece814fa95f71f4c68de0d3ddf9535195654e3c1d89963e7a25828b8	1	0.000059237878393
16	256309789	7dc3097cb42a2acf88eb0283299caa55e666bded80d495f7daf7210f5fc87a67	0	0.000051140309498
17	644759084	2e6178519d2b858607f2f281f497e71d43b2730118ae52f81e7524193450033d	0	0.000050020307129
18	109692547	9e95c3c3c96f57527cdc649550bf8e92892f7651f718d846033798aee333b0c3	0	0.000044389956048
19	109692548	9e95c3c3c96f57527cdc649550bf8e92892f7651f718d846033798aee333b0c3	1	0.000044389956048
20	447672542	813be9bcf2ffb84dadde19dc5bd9ec7dbe5f69652b0aa01aa6122750dc8522a7	0	0.000043124939026
21	447672543	813be9bcf2ffb84dadde19dc5bd9ec7dbe5f69652b0aa01aa6122750dc8522a7	1	0.000043124939026
22	635337702	ab6d79014b079b398a83ad73aaf07f471c83721a5e5d7083b3bdbecaa0136ff3	0	0.000039910871167
23	419886966	4223a6a665591348a733536fa7a3164f1dc68be4e024424193981b131945fe12	0	0.000037773073359
24	555700908	7b903eaf3dc5755d50a877f61478fad1b9ba7b4c051d8f6ced0564c4fccedd98	0	0.000036731709476
25	555700909	7b903eaf3dc5755d50a877f61478fad1b9ba7b4c051d8f6ced0564c4fccedd98	1	0.000036731709476
26	641091768	78e4b9f1bdd179454b1a3a048bb201f0c962aa9016f45437fbb84e5092e2b4e8	0	0.00003632214459
27	447663047	f64366712e25ac741f83d9c9c36670ca9dfeac766e14ff728d349842d7584d91	0	0.000036077604257
28	447663048	f64366712e25ac741f83d9c9c36670ca9dfeac766e14ff728d349842d7584d91	1	0.000036077604257
29	640396489	6c3344826cc46a8fb3c0fce7bf9dd0a099378902d14e51241508c7b449ab64e5	0	0.000033022633764
30	435010916	aad64f5617349bc448efbd7b9d6d7fe254b5c518fbbacc79648b381923947447	0	0.000032667997248
31	624953054	52b4b0200af1e3f75d48e0f497d1052b6ee964f113bcb2448e6c1f139fd3ca1b	0	0.000032428283033
32	464058630	a56808116c4714d97a570c8d03be1eeb86377a82b7befa37756aaa09cba972e8	0	0.000031972959079
33	464058631	a56808116c4714d97a570c8d03be1eeb86377a82b7befa37756aaa09cba972e8	1	0.000031972959079
34	222833812	b726ee43d11a8074cc28fe374c4d6373ab6e41a561ede3fbc33a0494d5fd8222	0	0.000031691525422
35	222833813	b726ee43d11a8074cc28fe374c4d6373ab6e41a561ede3fbc33a0494d5fd8222	1	0.000031691525422
36	222833814	b726ee43d11a8074cc28fe374c4d6373ab6e41a561ede3fbc33a0494d5fd8222	2	0.000031691525422
37	222833815	b726ee43d11a8074cc28fe374c4d6373ab6e41a561ede3fbc33a0494d5fd8222	3	0.000031691525422
38	409434973	bda5db1ce7579e0b641263f9154bf367640ba5cd6bb85aab96978632b1dd62d1	0	0.00003119291182
39	409434974	bda5db1ce7579e0b641263f9154bf367640ba5cd6bb85aab96978632b1dd62d1	1	0.00003119291182
40	625122606	b7c40107a00eeab17463f464c62b0feddfd64b8e80394b5d945abe7379983fca	0	0.000029011142081
41	625122607	b7c40107a00eeab17463f464c62b0feddfd64b8e80394b5d945abe7379983fca	1	0.000029011142081
42	258380574	dee7a327e02d0a5d75817e2eae6ae9c395e08e3db0f452f43061fb62f75ed96d	0	0.000028430630815
43	258380575	dee7a327e02d0a5d75817e2eae6ae9c395e08e3db0f452f43061fb62f75ed96d	1	0.000028430630815
44	259044799	bf63560bff99634eb481b7b4565ea74bda3c0636c2e5e570e7149f5d2ba1e8f5	0	0.000028430181124
45	259044800	bf63560bff99634eb481b7b4565ea74bda3c0636c2e5e570e7149f5d2ba1e8f5	1	0.000028430181124
46	511698503	89aed9774ea1a0c491052d6ede4ef38c0acf42aac9a8280034d34e76d38cbb2a	0	0.000028301858215
47	447675767	62fe89e753739a40ce25d2c3ff7385800341e2ff89eb60f25532706212290bc0	0	0.000027310440213
48	447675768	62fe89e753739a40ce25d2c3ff7385800341e2ff89eb60f25532706212290bc0	1	0.000027310440213
49	629674786	f09baa8ad392147dec0466649bcf6630e57155f19304dc99bdb7e8d6e2e091f5	0	0.000026954843847
50	394469293	eaf4075e1ae3b59c97271fc7d3db0e02e7b39dd25f6ead1cd980979664b7780b	0	0.000026938072038
51	644110276	a6d9378bdbc061060fb8f3920640cc02b3df27446df1933ac8a7ea906c9d9780	0	0.00002670069947
52	556526523	3fd53710a0c369f9528f12f4d0dab5b9b738c93c22ef17684d01ae37a11c0d81	0	0.000026643928252
53	556526524	3fd53710a0c369f9528f12f4d0dab5b9b738c93c22ef17684d01ae37a11c0d81	1	0.000026643928252
54	222584843	d0f183fce7f2ff4bce70579fbe600bd517baed87896b1506368fff3811410877	0	0.000026366853735
55	222584876	b9af6c838dd9c8a550e4f752d05ab25842a57cf1ca34326e95503f74bdb385d9	0	0.000026158060706
56	222585254	431d5d87d0520493101f09f82c2faa1b38ef68c10ed32b54f2a3e54dc6105ecf	0	0.000025943694328
57	390641621	33b8dc0e8ad48ebfe3f7812f9cbe3c531c174285b0c8c4fdb5defc69bbb607cb	0	0.000025932197175
58	390641622	33b8dc0e8ad48ebfe3f7812f9cbe3c531c174285b0c8c4fdb5defc69bbb607cb	1	0.000025932197175
59	222586546	c5b5d1f1f72152b0d4b3a69cb7782ca94346234c6c54d79bd214a50d2f1be3c2	0	0.000025574081339
60	645760739	4b580f09a1d7c48b1559e543e4b2e17cfcd5fbc9df8fd8fea2056f481cd0b193	0	0.000025315834053
61	645760740	4b580f09a1d7c48b1559e543e4b2e17cfcd5fbc9df8fd8fea2056f481cd0b193	1	0.000025315834053
62	222586545	2b4f1c2ebc03c47dec18fa0c40fcb6c132c395109230574cb3f9d8bedf7edcf7	0	0.000025017474932
63	662716502	5d874a6508113da0d7615f506d9de40a2c0c133f38ac66dc8687847e3d22abf1	0	0.000024748098846
64	649839131	7f45c10c42ce626d4db81758c665a50aa0cf6a02ab2b85e750fc58a6d34e415b	0	0.000024383038668
65	301447365	66a7b5b29556542cc316fbd1ca418018d82dad7fe62b666482931227b6915604	0	0.000024381605752
66	301447366	66a7b5b29556542cc316fbd1ca418018d82dad7fe62b666482931227b6915604	1	0.000024381605752
67	258428848	c83bbe631ddc95e735a434b5f783f7acf085b65a4e4a0240b5b1aa0ea12602b2	0	0.000024245330033
68	657266819	a1befd3d09da8ef3d7585f1b49d88cb64742fa0459c74cab4f2739e78f3a8a43	0	0.000024223472532
69	259044801	588e2a6689f98e4443a8aa2feabdebad2ff571585fa96b481829c08e6f83fd58	0	0.000024165929385
70	653016451	412a519d726ea97fb88075617cac9c044d2f0625c29174bda906604846e2d173	0	0.0000234233007
71	636295058	4660f65163833106254267bc8ae542ed66a4aa25aab4074a2d3964da4071e765	0	0.000023256085258
72	558101280	f3c7d9c1f53ef69534be217f7ab658881dcc84d3b936354afb8b5ed7b54f1213	0	0.000023230102736
73	447630830	3551d7615f09b9bddabc3181061a3ab774b15cfa12c88235408ac960d6862eac	0	0.000023024131768
74	447630831	3551d7615f09b9bddabc3181061a3ab774b15cfa12c88235408ac960d6862eac	1	0.000023024131768
75	661004153	3a98ac1cb698157421d4ef9c245a0835e30b23f29367f6123d743f33b3672f2c	0	0.000022932600034
76	395535105	613c36d6c3cecef3a2039e449bf2f32bb29a1e29a321c35334f2fa5089babf90	0	0.000022899624704
77	646314632	a43d15377f3bfb1b7e9fea1885373a5911dc0cceae10cb80dd9da45d9b88769e	0	0.00002233042116
78	650552982	e7e4c565c0d0ca43f94f5ec85166018982e289dc6be950c510b857dffbbcfd5f	0	0.000021933663592
79	654855143	1165af0217e5f62b1923d86237206f927c2db63ca29bacc717c7366cfc10b9e2	0	0.000021333671466
80	644214377	01ce2c5ac8ed6074249ac85fad31f02ba1b03bec6e01b8ed26ae2a2f0cd4ca66	0	0.000021238982351
81	301527730	7cf24ee9bd9222bdb5c8681843f402b5417d7e4ed4db4d8be83e5a02ebe9fa15	0	0.000020726807484
82	262372217	3ec1bf7d2e26abbcfe58e2ec05fde03b3544bd070244da6b91f95624259c44bc	0	0.000020673949738
83	507318442	be1f362cba57c275429fa396be23062466533eb1e78eb7a1ab93b776e948faa2	0	0.000020475475368
84	256304482	e143809d1e5c565db890ff833f00a6bf6de97401c113339d0d5f8562bbf384f0	0	0.000019789682562
85	646740500	924c405d568b3ac71c0776362e3d7b3e2179db2ad5875e02579e98fa42095803	0	0.000019744846717
86	222586586	2bd9e434cd351cd9e0ebd955a8c1bbc0b7fddcc5b434db7f67f71e53f13d515b	0	0.000019560280939
87	350536794	8fcefa17b0a0b14a5248c5f6c1e11e6685cbec5f2b5d84882aba30497aa975c2	0	0.000019384301115
88	532816194	49872b44053c22cb1949b91ec32903cf7e67f77b6cb7d59ded22cdad7b4b3098	0	0.000019166392781
89	447677823	2afe103cd0bce7979f7507e87c9ceeffab552f6396d98d861fb9249341792bf9	0	0.000019147611497
90	447677824	2afe103cd0bce7979f7507e87c9ceeffab552f6396d98d861fb9249341792bf9	1	0.000019147611497
91	447050078	6038b1b642e7a460992dec6bc84bd9f212f7818e14c5bf324453058a0b3fb6f9	0	0.000019125912389
92	447050079	6038b1b642e7a460992dec6bc84bd9f212f7818e14c5bf324453058a0b3fb6f9	1	0.000019125912389
93	222586596	a0068b4d44113ac44f9625f9caa56ae42a4d5dacd5be0958e4015bf5edb8d99a	0	0.000019077172599
94	639337092	bb51ac398665ba4b275cc4dccebf15f7fac3803b3864ce2b180d03a06be7e028	0	0.000018879245005
95	132672983	0e8d8c4d9206924051b26b8dfb4db34b5fffae89b8a2f2772b626c3e828cb8d3	0	0.00001886600675
