rank	node_id	address	label	in_degree
61	121338402	1XFR31KMHLrAWkVGJEZjuHcs5isjaaKbH	null	90225
62	44178357	17o5zDFGNvP5H2iWd7aWbhacwS1HKDE4i9	Bter.com	90102
63	5003442	12WfzWsJBrGEzBYstcUZAfQGPZg5KeqGJh	null	89979
64	181182364	1TipsnxGEhPwNxhAwKouhHgTUnmmuYg9P	null	89328
65	146205092	1ArG3JwEbF4WrCiEnXQXUAgQumAVzqnQHD	null	88419
66	103187690	1HVgipffWqRhRWJqapeN23RGigzpxtGW6n	null	88115
67	164945189	1xaGNZVm9oujWSRkAR5T2RDhHkxq4dxzc	BTC-e.com	87690
68	209770992	1GCMZuCzCYVL9bh65qxQmwjAiZagyYEEQf	null	86956
69	13951750	1ACKcumkx4M3aQisMMLq32EubPkUNiUfTC	null	86697
70	106706805	13hB6VxWn52YuzXJJ9FE6Y7NVnT5CtRjmD	null	86487
71	132341976	1PB34LJRRJfpyyewdCLnXcFjWAG6H7r44H	null	85068
72	3532515	1dice6wBxymYi3t94heUAG6MpG5eceLG1	SatoshiDice	85014
73	92713677	1SWP6D1efxM4fMkZjGZketuncYiRwkg2V	null	83211
74	3526385	1dice5wwEZT2u6ESAdUGG6MHgCpbQqZiy	SatoshiDice	81934
75	5028176	1diceDCd27Cc22HV3qPNZKwGnZ8QwhLTc	SatoshiDice	80758
76	70248391	3Fp5ejYY8FsJ6Y3kb377VRjJunTeUVYsuq	null	80329
77	165819173	366Dgw4pi3rnvu5zizVWZF6nijWxZWc6RA	null	80126
78	132222812	1LApZ4cAv5VsJzHS44V4A8wsvW7meBHg6H	null	79496
79	109403627	3LQxUzikM2rWBhUFrLFNiuWPbPLLJn84DB	null	76605
80	156292587	3BQjEhqd7ug4eoA7g1RTXNztwp89c9Qyv7	null	76419
81	151169165	1Y2sKhUZvsP2EANpKra3FaFZufHq5VEwT	null	76240
82	83842771	1JceroDThChGfsfTC2ZbGjafPQoFm5mZbF	null	75881
83	203729639	1Gwc6w1abLeuPZSHV9ykP8HNvX94MmLdZF	null	75542
84	83182523	19mcjofGwKxGwhaZwDwPjdWd1KrFCZgoJJ	null	75340
85	100004950	12oFswLrSyRcXYuB6WNsur2Ls1gbnpdtJR	null	75243
86	46627771	1rundZJCMJhUiWQNFS5uT3BvisBuLxkAp	null	75033
87	19653163	17VhtCnJ6mZF3zDgQAyjiNeBREnXKwRmqk	null	74521
88	175117619	1FoXbDsvXgwVoFwkszaZjkuRRDADoWTygX	null	74301
89	88832140	1DEcTtkrbdXxS1wbrMvzub5X4VpByYmAwo	Poloniex.com	73337
90	89803021	1Kd6zLb9iAjcrgq8HzWnoWNVLYYWjp3swA	Kraken.com	73203
91	42599085	1FXqE2ixnnSB1kvwbMtWma5xQ2bVbkSq3f	null	72532
92	16525546	1Mf478S7eWk7SmjJ7XmUX1c65mWFCqCkFK	null	71759
93	204091845	1NmS6TR7qa1PmHrMna45ZYD2xjkisusNHo	BTC-e.com	71645
94	16000203	1Bet32kBtZzXViMs1PQHninHs4LADhCwtB	BetcoinDice.tm	70616
95	46686316	14wXrm49HxggbdQ6RGfWY8qghGEWhLA28K	Huobi.com	70389
96	46685558	19iVyH1qUxgywY8LJSbpV4VavjZmyuEyxV	Huobi.com	70327
97	99144320	1HS4i3uYzevCdp7eb2ZuonSZa3r3d4XrKq	BTC-e.com	70061
98	46770793	12ucu9bHLe2w2ahjibVtp3xmdcGkgUmX4A	Huobi.com	69677
99	46671888	1MEe2mebed8wopvy8xyjjHcEQHUPVJn2UC	Huobi.com	69481
100	46671122	1KumbRsTcA6UNqU2MHEfqEFnAZYU3w3izR	Huobi.com	69335
101	46689548	1KYXrw4Ftkmomfs4iyVXUSqQeRX75Unoi8	Huobi.com	69319
102	46693164	1GUkazUBpXWdSJ9HbgTapAH7uybpi3Cs6K	Huobi.com	69312
103	46671737	1Po4J4SNyJuGnMGYJfGTXLEvGgAZKiddr7	Huobi.com	69254
104	46700382	1Lsqcv4cg5zUctNi2qwNxMkrv1GeBboSUJ	Huobi.com	69203
105	46793912	17BymcHaGRbXGnEzR2m9woUYNf9FBPPJ2P	Huobi.com	69151
106	105237780	1HY5d1jkiTA5C2Utss9kUvVVHWJo5UrEFD	BTC-e.com	69028
107	107201581	3MFuhNAQtUX5xXnrexxYVmzsWZedgvTSJK	null	68346
108	3541441	1dice6GV5Rz2iaifPvX7RMjfhaNPC8SXH	SatoshiDice	68345
109	85833142	1FAv42GaDuQixSzEzSbx6aP1Kf4WVWpQUY	null	67870
110	120804846	3NRG5vAUPK5Ls8qpNHfPkpec7wMDjfAeZJ	null	67795
111	18161756	1bonesF1NYidcd5veLqy1RZgF4mpYJWXZ	BitZillions.com	67649
112	64648627	1HgGpGwQwizD6A47v3XLqds6jXJ9QoNBH1	BTC-e.com	65752
113	121041992	1CX1pBK4LzbNWGJTQWTDryimVgS4gLV6tt	BTC-e.com	65349
114	40135518	19fYAQMWrTn4wrz621c7XRJmZDUsiPrM2h	null	65229
115	94419740	36fFx8qprBuJhWVzA1k2x13RDwrdQVvnQN	null	65187
116	169853544	1EFM9kGHFhrP3fpN2qC53HTmsVCsW15Vib	null	65172
117	235685337	1BBCMAMnZKf2sz5cQyyN7quHnzKKyGt9wT	null	64103
118	19501306	1LuckyR1fFHEsXYyx5QK4UFzv3PEAepPMK	LuckyB.it	63642
119	69317545	33iYniZKxzFFbT6JDBzK1FM1i5FPBvMgN8	null	63457
120	23605094	1Facb8QnikfPUoo8WVFnyai3e1Hcov9y8T	null	62966
121	70248392	3KDgKr3qov4Ws5WPnaA2RHjcE1N2UeVYs3	null	62581
122	31746257	17gH1u6VJwhVD9cWR59jfeinLMzag2GZ43	null	61688
123	15845705	1Bet5o5o23jaRB9kKNxqZ5KeBqoSm5Fh56	BetcoinDice.tm	60689
124	24265179	116EraDcGrwq9Ahgp8Pnq8muNG5i4BQzdp	null	60470
125	90282159	1Vt1x5KDXfEewCsxsT1HYRwQthdNREY8a	null	59825
126	188060849	1EhRoLUnoQU3HR5CULpvoUimuu2xzVPr54	null	59794
127	19485043	1LuckyG4tMMZf64j6ea7JhCz7sDpk6vdcS	LuckyB.it	59618
128	3517234	1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN	SatoshiDice	59247
129	28792789	18zGCEFT5RrahLf84QUtAvSDVKiD4bR6Df	null	58739
130	85315138	1SWP4oiqwWxDw1oQRn7gvMYWu35s6ymsB	null	58564
131	29706382	16R14EH4v8A9GPXkAAP8gcMFBA8oxA8nbY	null	58294
132	4261784	13p4zncq6m3Ax7tvKhEG2k49hgwfS5g7ic	null	58134
133	3525858	1dice1e6pdhLzzWQq7yMidf6j8eAg7pkY	SatoshiDice	57830
134	65628705	1C3KCNoLiv96RigbRypFqjfjYR8NDgZxoh	null	57161
135	152737074	1HBnzSvMPRxPKxj2dhv2gmr8cWNkkLWDbK	AnxPro.com	56342
136	27735204	1HC3dc4DubRat1P39YBBkwVRbph3ijbtPQ	null	56327
137	76042375	3CdMsfWgYVL7p5A2okzWcEzUR51YA6dC4j	null	56229
138	70248390	3Ce7jUQn2RH5Ysdb4VvShoYymZLpkcqaAA	null	55657
139	212897213	1Jyk78QLGTi4e1DbYqgBizQujAPskxtsU3	null	55528
140	34734409	13p5iQkqBEVgKmPeJqEL2LBRS44PjX1dZL	null	55340
141	204001439	14RbgNwyC3yosNVmtbh5NMPixkYGzeZHdk	null	55030
142	127174850	1HCpe5pLiEYixqeBq6t6SwPbL3AkeHXriK	BTC-e.com	54123
143	83841286	14WCrzmqVCD7Thf79vutWTB6y1hUc8pP19	ePay.info	53938
