rank	node_id	label	pagerank
0	2208237	null	0.008901213988355
1	66158	ePay.info	0.008153088558444
2	17990151	BTC-e.com	0.006428469668053
3	12301509	Poloniex.com	0.003604555692924
4	7320876	Xapo.com	0.00280614466755
5	30579344	null	0.002574354649724
6	13219122	Bittrex.com	0.002471018025649
7	19495083	Huobi.com	0.002462863126655
8	75670555	null	0.002430580704851
9	2424011	AnxPro.com;CoinTrader.net	0.002347737751869
10	19306243	null	0.002161706693248
11	1173863	null	0.002020369565814
12	2541418	SilkRoadMarketplace	0.001586922068784
13	50717090	null	0.001541646706395
14	23118763	Cubits.com	0.001502945782051
15	48813691	LocalBitcoins.com	0.001493970002653
16	11024643	AgoraMarket	0.001473175280096
17	744555	null	0.001352613427216
18	84257830	null	0.001333972719507
19	24493654	Bitstamp.net	0.001300307509452
20	26763103	null	0.001278779724225
21	42310612	null	0.00125606308505
22	31839650	null	0.001090272534449
23	2267636	SatoshiDice	0.001079709568488
24	5725760	Luno.com	0.00101107600336
25	26834380	null	0.001007646660383
26	13064777	null	0.000965356692249
27	11068091	CoinGaming.io	0.000915070199321
28	11816843	999Dice.com	0.00090623931953
29	8197113	CoinPayments.net	0.000829271697952
30	1244271	null	0.000777524732388
31	41801418	null	0.000776229631764
32	6953516	null	0.000761819996412
33	121020208	null	0.000750591987093
34	1752408	BitcoinFog	0.000750055977845
35	10071389	SilkRoad2Market	0.000721455296194
36	67123596	null	0.000703067941018
37	8944551	Cex.io	0.000697363063168
38	62515882	null	0.000658160370291
39	71861979	null	0.000648741716346
40	37133779	AlphaBayMarket	0.000640212351639
41	10787549	NitrogenSports.eu	0.000628899407139
42	12373599	EvolutionMarket	0.000618258460523
43	20770196	null	0.00061598296046
44	9057224	null	0.000607558023758
45	8973729	BitZillions.com	0.000606041202627
46	13741816	null	0.000602861400091
47	25805047	BTCC.com	0.000602572383151
48	28991804	Cryptopay.me	0.000594040225553
49	20239027	BtcTrade.com	0.00057969363297
50	10221172	BTCCPool	0.000578150433462
51	74877657	BitPay.com	0.000565181859834
52	43422015	null	0.000557751574261
53	8807258	Kraken.com	0.000554348464021
54	83895466	null	0.000549552369854
55	16493538	CloudBet.com	0.000535371684074
56	124495457	null	0.000535315432791
57	55566459	null	0.000533258326787
58	77152912	null	0.00053234143508
59	22116220	NucleusMarket	0.000522203874999
60	57514994	null	0.000519030328409
61	98331139	null	0.000510357402325
62	75579381	null	0.000507460568018
63	73449800	null	0.000506663364036
64	6313971	null	0.000494421393594
65	27804627	null	0.000488712496605
66	8081852	OKCoin.com	0.000474581815224
67	17943928	OKCoin.com	0.000472078461163
68	67758864	null	0.000467372247105
69	31596173	null	0.000455266871645
70	52281550	null	0.000452637683645
71	18864808	SatoshiMines.com	0.000445361210755
72	106353143	null	0.000444163888926
73	40360022	null	0.000442132225787
74	30188476	null	0.0004385861111
75	24026673	YoBit.net	0.000423344288474
76	20296198	BitoEX.com	0.000420215336136
77	117317464	null	0.000406914169589
78	132951927	null	0.000392611631189
79	32248205	null	0.000387723806132
80	20664462	null	0.000381444105174
81	36847106	null	0.000380254750696
82	56337596	null	0.000379657290825
83	35018567	null	0.000377134455979
84	9676219	Bitcoin.de	0.000365997325197
85	49550049	null	0.000363877452474
86	18425540	null	0.00035999795206
87	93115052	null	0.000349892380618
88	10056491	null	0.000349178326397
89	311420	Instawallet.org	0.000348986352391
