rank	node_id	label	out_degree
248	10582796	null	17530
249	24324567	null	17519
250	10407614	Bleutrade.com	17434
251	49937036	null	17333
252	498200	Cavirtex.com	17321
253	99408078	null	17225
254	41071558	null	17217
255	22238686	null	16923
256	20296198	BitoEX.com	16822
257	30928926	null	16754
258	20502895	null	16676
259	99862832	null	16557
260	4931289	null	16484
261	47795396	null	16427
262	30747778	null	16379
263	53161308	null	16339
264	47633559	null	16328
265	2222134	null	16092
266	61404648	null	16088
267	114209401	null	16062
268	12575954	null	16032
269	41441542	null	15809
270	101789696	null	15774
271	44846556	null	15651
272	73449800	null	15605
273	26557958	null	15394
274	5240518	null	15263
275	53160800	null	15249
276	20543770	null	15177
277	18570722	Bit-x.com	15127
278	23842529	null	15099
279	18425540	null	15095
280	113720016	null	15084
281	18442057	C-Cex.com	14890
282	3488941	null	14885
283	6826195	null	14792
284	17438793	null	14601
285	51832	null	14577
286	96823169	null	14375
287	61910615	null	14362
288	35304192	null	14177
289	12260418	null	14175
290	33100603	null	14169
291	26561483	null	14089
292	15572960	null	14067
293	86078162	null	14062
294	110676743	null	14046
295	54634037	null	13875
296	63881721	null	13795
297	19224803	null	13783
298	21767772	SatoshiDice.com	13724
299	26763103	null	13689
300	34901592	null	13687
301	92424158	null	13515
302	36847106	null	13398
303	22016028	null	13392
304	30095273	null	13321
305	50567749	null	13230
306	2864387	null	13147
307	47641862	null	13133
308	5765035	null	13079
309	51151473	null	12970
310	22123154	null	12888
311	19590832	null	12803
312	18029727	null	12636
313	30867609	null	12472
314	13415572	BlackBankMarket	12455
315	14680730	Coin-Swap.net	12454
316	77869541	null	12432
317	2792112	null	12373
318	77739732	null	12336
319	29234210	null	12328
320	31622246	null	12299
321	77869513	null	12289
322	69108960	null	12138
323	6287082	null	12036
324	35494	null	11974
325	73972347	null	11950
326	39812920	null	11873
327	2444252	null	11863
328	5310451	null	11821
329	39209343	null	11800
330	20239027	BtcTrade.com	11773
331	32110173	null	11703
332	7927811	null	11693
333	15223609	null	11693
334	31080740	null	11598
335	3489093	null	11552
336	14646682	null	11539
337	11250004	SatoshiBet.com	11418
338	4645113	FYBSG.com	11353
339	25569682	null	11316
340	121020208	null	11286
341	89541379	null	11258
342	63783416	null	11256
343	29446735	null	11154
344	133271454	null	11082
345	1752408	BitcoinFog	11045
346	22115281	null	10983
347	40890543	null	10934
348	53782379	null	10928
349	92012164	null	10908
350	4675530	null	10907
351	20443865	null	10905
352	34350831	null	10896
353	11809907	null	10871
354	52024338	null	10868
355	75485290	null	10804
356	1101058	null	10769
357	13221738	null	10760
358	70352159	null	10715
359	17231364	Loanbase.com	10706
360	14024306	CoinMotion.com	10656
361	52609808	null	10591
362	27346815	null	10576
363	12884666	null	10573
364	39987697	null	10494
365	39729885	null	10445
366	11102086	BlueSkyMarketplace	10410
367	2774175	null	10377
368	75189723	null	10347
369	43876163	null	10341
370	6299081	null	10330
371	114329974	null	10316
372	54230637	null	10209
373	63048016	null	10208
